placekey,location_name,street_address,city,region,postal_code,lat,long,visitor_home_cbgs_ex,count
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470602021,8
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470602022,20
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470602023,12
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470602024,75
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603042,54
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603043,29
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603051,28
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603052,12
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603053,8
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603061,8
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603071,15
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603072,53
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603073,42
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603081,45
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603091,19
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470603093,12
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604031,52
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604033,12
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604041,45
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604042,47
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604043,50
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604051,28
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604052,20
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604053,12
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604061,12
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604062,60
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604063,8
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604071,12
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132470604073,25
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132551605002,8
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132971102001,8
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132971106021,8
222-222@8g6-x4b-td9,Waffle House,1886 Highway 20 SE,Conyers,GA,30013,33.6376009991568,-84.0138959996467,132971106032,8
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630404132,8
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630404152,9
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405143,8
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405151,12
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405152,47
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405153,8
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405154,44
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405161,39
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405162,12
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405163,68
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405181,16
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405182,50
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405183,48
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405192,21
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405251,50
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405261,45
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405262,32
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630405263,12
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630406061,22
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630406062,12
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630406081,84
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630406082,17
222-222@8g7-4s3-jy9,Waffle House,8765 Tara Blvd,Jonesboro,GA,30236,33.5158080065231,-84.3635849768126,130630406091,24
