state_name,st_fips,cd_fips,cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,uncontest,missing
Connecticut,9,5,G0905,1990,74791,104891,240283,31.12621367,43.65310904,0,0
Connecticut,9,6,G0906,1990,60373,166967,239597,25.19772785,69.68659875,0,0
Delaware,10,0,G1000,1990,117426,153037,276124,42.52654604,55.42328809,0,0
District of Columbia,11,98,G1198,1990,166808,20108,196754,84.77997906,10.21986847,0,0
Florida,12,1,G1201,1990,118941,100349,228632,52.02290143,43.89105637,0,0
Florida,12,2,G1202,1990,167215,60425,227726,73.42815489,26.53408043,0,0
Florida,12,3,G1203,1990,91915,63114,155029,59.28890724,40.71109276,0,0
Florida,12,4,G1204,1990,103531,135883,239471,43.23320987,56.74298767,0,0
Florida,12,5,G1205,1990,129698,114356,263549,49.21210098,43.3907926,0,0
Florida,12,6,G1206,1990,76419,144195,220614,34.63923414,65.36076586,0,0
Florida,12,7,G1207,1990,96945,125823,223023,43.46861086,56.41705116,0,0
Florida,12,8,G1208,1990,65145,141977,207122,31.45247728,68.54752272,0,0
Florida,12,9,G1209,1990,110135,158028,268163,41.07017001,58.92982999,0,0
Florida,12,10,G1210,1990,114809,149606,264415,43.42000265,56.57999735,0,0
Florida,12,11,G1211,1990,100984,77640,191354,52.77339381,40.57401465,0,0
Florida,12,12,G1212,1990,92346,100484,192830,47.88985116,52.11014884,0,0
Florida,12,13,G1213,1990,115767,158881,274648,42.15104425,57.84895575,0,0
Florida,12,14,G1214,1990,0,220351,268511,0,82.06404952,1,0
Florida,12,15,G1215,1990,132412,128873,261285,50.67722984,49.32277016,0,0
Florida,12,16,G1216,1990,101237,157322,258559,39.15431294,60.84568706,0,0
Florida,12,17,G1217,1990,102784,0,102799,99.98540842,0,1,0
Florida,12,18,G1218,1990,52142,104755,156897,33.23326769,66.76673231,0,0
Florida,12,19,G1219,1990,177423,103867,281294,63.07386578,36.92471222,0,0
Florida,12,20,G1220,1990,130959,91589,237889,55.05046471,38.50072933,0,0
Florida,12,21,G1221,1990,0,-99,-99,0,100,1,1
Florida,12,22,G1222,1990,91625,128400,247088,37.08193032,51.96529172,0,0
Florida,12,23,G1223,1990,84249,44807,143935,58.532671,31.13002397,0,0
Georgia,13,1,G1301,1990,75808,103932,179740,42.17647713,57.82352287,0,0
Georgia,13,2,G1302,1990,95789,54593,150382,63.69711801,36.30288199,0,0
Georgia,13,3,G1303,1990,94271,114107,208378,45.24038046,54.75961954,0,0
Georgia,13,4,G1304,1990,123819,126495,250314,49.46547137,50.53452863,0,0
Georgia,13,5,G1305,1990,147445,56960,204470,72.1108231,27.85738739,0,0
Georgia,13,6,G1306,1990,116196,158761,274957,42.25969879,57.74030121,0,0
Georgia,13,7,G1307,1990,111374,82915,194289,57.32388349,42.67611651,0,0
Georgia,13,8,G1308,1990,108472,86220,194692,55.71466727,44.28533273,0,0
Georgia,13,9,G1309,1990,113024,77919,190943,59.1925339,40.8074661,0,0
