GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021,ADNEM001,ADNEM002,ADNEM003,ADNEM004,ADNEM005,ADNEM006,ADNEM007,ADNEM008
"G01001","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Alabama",695961,675301,455224,192876,6563,9601,64,704,10269,646,9623,20660,14741,656,149,109,0,4233,772,614,158,680213,54699,69938,39575,36761,49994,20884,408362,"Congressional District 1 (114th Congress), Alabama",615,606,485,972,570,417,54,312,987,400,927,191,959,251,111,103,27,890,282,264,99,1037,2797,3274,2895,3081,3237,2191,5850
"G01002","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Alabama",684660,660910,429609,208475,2578,7625,77,1119,11427,751,10676,23750,16178,1177,250,147,39,5065,894,397,497,664462,56827,72504,39961,33739,49111,19273,393047,"Congressional District 2 (114th Congress), Alabama",2080,2270,1129,2361,264,791,51,421,815,373,751,743,933,301,169,176,34,815,194,123,167,2349,2512,2975,2462,2015,2386,1400,4130
"G01003","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Alabama",697296,676951,478639,175297,1885,9830,247,478,10575,426,10149,20345,11386,1284,122,156,0,6097,1300,612,688,676760,62800,75326,38115,36662,51537,20345,391975,"Congressional District 3 (114th Congress), Alabama",1426,1376,1218,1327,292,523,105,243,966,244,903,342,1099,504,98,116,27,1061,410,220,348,1663,2882,3007,2667,2339,2617,1939,4920
"G01004","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Alabama",682859,641392,574220,46760,4465,3795,276,294,11582,281,11301,41467,26020,663,470,32,712,11918,1652,1181,471,674190,49809,79497,43853,44056,56862,22485,377628,"Congressional District 4 (114th Congress), Alabama",1460,1507,1408,886,466,399,120,187,813,109,803,796,1643,408,341,36,663,1483,348,366,265,1551,2510,3203,2475,2268,2863,1627,4707
"G01005","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), Alabama",700501,666113,513986,119451,3943,11199,491,1042,16001,254,15747,34388,24419,1003,311,131,86,6394,2044,900,1144,683497,43019,60075,33701,34204,43563,17310,451625,"Congressional District 5 (114th Congress), Alabama",126,127,249,863,362,530,158,283,1028,99,999,3,1257,341,160,103,58,1014,542,284,445,1479,2480,2877,2228,2522,2184,1795,4861
"G01006","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), Alabama",692738,658100,535047,100201,1893,12343,95,765,7756,165,7591,34638,17790,630,224,26,9,15236,723,419,304,679953,29990,45078,27752,27372,39067,15812,494882,"Congressional District 6 (114th Congress), Alabama",2443,2508,1908,1809,354,581,74,309,880,136,860,1048,1407,273,192,44,14,1486,304,224,175,2725,1701,2550,1831,1981,2404,1605,4395
"G01007","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), Alabama",676605,658361,218264,427004,874,4576,329,1190,6124,82,6042,18244,9941,1067,123,29,14,6543,527,304,223,652364,87928,99770,45650,38787,48050,20906,311273,"Congressional District 7 (114th Congress), Alabama",3160,3070,2124,2346,203,681,192,540,772,41,767,1336,1080,312,92,31,24,939,179,128,103,3128,3469,3576,2130,2146,2494,1593,4813
"G02000","2011-2015",,,"Alaska","02",,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"Congressional District (at Large) (114th Congress), Alaska",733375,685567,457470,23755,98450,42360,8550,979,54003,492,53511,47808,26780,1267,2863,561,291,8294,7752,2710,5042,716218,32402,40555,28292,28864,39200,17824,529081,"Congressional District (at Large) (114th Congress), Alaska",0,109,298,754,1545,924,387,326,1973,271,1965,108,1141,367,619,281,173,976,857,471,754,373,2034,2253,2078,1860,2343,1267,3851
"G04001","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Arizona",727454,572312,363700,16139,165576,11507,953,586,13851,464,13387,155142,108304,1239,5400,627,71,30558,8943,4150,4793,697390,76571,76057,42261,39261,50026,21186,392028,"Congressional District 1 (114th Congress), Arizona",3468,3409,3265,1202,2092,957,240,212,1093,244,1116,2927,3369,311,1006,383,40,1916,1054,702,735,3881,3511,3189,2474,2535,2904,1617,4344
"G04002","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Arizona",719851,523755,449957,27131,5864,20203,1372,1027,18201,606,17595,196096,133838,2355,3028,769,99,43656,12351,6761,5590,697096,52392,61231,34349,37124,48898,19100,444002,"Congressional District 2 (114th Congress), Arizona",3662,2709,2359,1017,711,1040,284,381,1267,252,1217,2946,3087,501,471,325,73,2612,1133,1054,705,3775,2731,2615,2337,2272,2669,1904,5349
"G04003","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Arizona",732596,282156,203012,31400,24717,12532,936,688,8871,237,8634,450440,330825,2852,7528,644,78,95395,13118,6805,6313,706162,75416,97623,55080,51362,62167,22600,341914,"Congressional District 3 (114th Congress), Arizona",5203,4316,3872,1922,1358,1323,266,277,851,110,866,4746,5722,569,962,243,63,4231,1394,1056,910,4952,3325,4208,3395,2954,3495,2318,5718
"G04004","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Arizona",730220,595403,547567,12546,12478,7720,1361,378,13353,409,12944,134817,93416,859,2027,612,255,30488,7160,3999,3161,701671,51145,64243,34740,41153,58401,25732,426257,"Congressional District 4 (114th Congress), Arizona",4342,3395,3029,1065,2262,724,411,219,1043,195,992,3192,3323,246,513,294,209,2766,1326,1048,679,4817,3858,4497,2866,2751,3441,1935,6478
"G04005","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), Arizona",761257,627825,545918,21080,7532,35190,1529,397,16179,337,15842,133432,102538,1113,1712,555,99,21030,6385,3769,2616,757123,34230,37798,24149,25616,37112,19055,579163,"Congressional District 5 (114th Congress), Arizona",3658,4497,4313,1883,1085,1767,411,130,1041,129,1013,4062,4168,331,475,222,104,2131,843,703,497,3537,2658,2298,1897,2282,2886,2186,5777
"G04006","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), Arizona",739321,621542,541955,18975,10203,33051,604,1029,15725,823,14902,117779,90523,1526,1348,405,74,19428,4475,2925,1550,734689,44889,46660,32168,26262,39675,19801,525234,"Congressional District 6 (114th Congress), Arizona",4439,4517,4264,1746,1118,1829,266,354,1370,362,1264,3353,3474,477,361,188,77,1849,775,698,353,4511,2683,2820,3072,2098,2468,1798,5510
"G04007","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), Arizona",744743,263602,150416,68336,16573,16114,1615,739,9809,409,9400,481141,337152,3974,4909,1007,92,121284,12723,7222,5501,734008,119098,135111,59410,59481,67563,24694,268651,"Congressional District 7 (114th Congress), Arizona",4779,4021,3257,2509,1405,1680,452,227,1112,149,1115,4804,6445,733,827,681,59,5048,1262,1005,954,4914,4446,5045,3568,3369,3947,2300,5134
"G04008","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"08",,,,,,,,,,,"Congressional District 8 (114th Congress), Arizona",744439,602945,524561,31122,4710,24089,887,767,16809,523,16286,141494,112714,1844,1280,261,51,18690,6654,3266,3388,733014,32978,38333,26902,30671,44121,20403,539606,"Congressional District 8 (114th Congress), Arizona",3590,3875,4427,2472,859,1928,263,299,1346,185,1330,3509,3650,444,339,125,42,1936,1004,689,653,3568,2401,2959,1941,2568,2821,2442,5505
"G04009","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"09",,,,,,,,,,,"Congressional District 9 (114th Congress), Arizona",742047,537677,425767,37390,17446,34351,2165,1466,19092,1109,17983,204370,148172,1695,2390,453,230,43284,8146,3674,4472,727764,67648,69267,34441,33950,47578,17508,457372,"Congressional District 9 (114th Congress), Arizona",4531,4281,3245,2089,1554,1346,527,427,1402,353,1362,4367,4466,359,564,187,185,3274,1008,568,863,4768,2986,3119,2472,2266,2550,1592,5088
"G05001","2011-2015",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Arkansas",726282,703523,555777,130598,2314,3650,421,314,10449,173,10276,22759,15002,451,561,56,10,5843,836,577,259,696893,61622,87759,47218,45547,59947,23502,371298,"Congressional District 1 (114th Congress), Arkansas",414,387,331,642,280,334,257,166,679,76,680,86,969,189,380,84,19,793,230,202,113,961,2875,3607,2180,2034,2739,1743,3989
"G05002","2011-2015",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Arkansas",750711,713402,520469,164815,2061,11086,205,633,14133,364,13769,37309,27276,1230,212,162,26,6909,1494,828,666,734406,52699,67235,35489,39963,54771,20431,463818,"Congressional District 2 (114th Congress), Arkansas",0,0,284,821,382,496,128,294,1042,215,1043,0,1297,478,120,85,42,1212,357,256,259,772,2898,2927,2478,2674,2589,1741,4782
"G05003","2011-2015",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Arkansas",761175,658211,581841,20897,8143,20831,5981,887,19631,439,19192,102964,67624,578,734,142,3,30272,3611,2098,1513,742841,52050,80755,43129,44244,60018,25587,437058,"Congressional District 3 (114th Congress), Arkansas",1300,1273,1274,721,661,553,406,512,969,285,962,334,2137,268,320,113,5,1851,641,465,381,1620,2925,3656,2792,2819,3472,2310,5730
"G05004","2011-2015",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Arkansas",720040,679846,519221,140406,3910,4395,120,897,10897,135,10762,40194,20639,773,474,14,79,16729,1486,943,543,698357,62433,89091,49734,43346,57602,23550,372601,"Congressional District 4 (114th Congress), Arkansas",1355,1294,1232,642,409,420,102,478,762,81,772,354,1332,274,222,18,73,1171,401,347,210,1600,2942,3269,2448,2352,2889,1716,4591
"G06001","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), California",704448,613606,548426,9422,10529,18318,1474,456,24981,711,24270,90842,59042,294,2980,239,197,19506,8584,3742,4842,681873,55433,71022,40451,35287,52308,19848,407524,"Congressional District 1 (114th Congress), California",1452,1444,1327,528,733,736,260,185,1264,221,1215,1021,2113,127,714,112,127,1581,889,564,732,1895,2608,2848,2207,1763,2798,1674,4214
"G06002","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), California",712526,590131,510814,10770,12595,26442,1359,3514,24637,701,23936,122395,62669,891,2903,316,315,47070,8231,4916,3315,695079,39632,52569,29025,31897,39727,17257,484972,"Congressional District 2 (114th Congress), California",1754,1781,1803,606,950,846,248,745,1166,214,1109,1721,2403,316,625,155,276,2700,910,803,434,1983,1632,3071,2138,2182,2293,1990,4570
"G06003","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), California",716206,510330,350164,41559,5035,77440,3458,1951,30723,1262,29461,205876,117464,1803,2701,1387,124,70033,12364,6715,5649,693499,53359,65600,35838,33501,51639,18280,435282,"Congressional District 3 (114th Congress), California",1957,2513,2443,1395,447,1537,446,763,1090,282,1058,2309,3293,654,550,287,86,3403,1148,789,744,1751,2758,2972,2342,2038,2995,1648,4892
"G06004","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), California",712747,621294,548898,8649,6287,32667,1066,592,23135,674,22461,91453,60614,484,1734,661,82,21265,6613,3172,3441,700154,32701,40055,23332,26563,37084,14346,526073,"Congressional District 4 (114th Congress), California",1820,1964,1958,571,729,856,252,245,1040,226,1003,1408,2557,169,505,262,70,1693,800,569,550,1905,2108,2944,1918,2049,2295,1470,4287
"G06005","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), California",720557,524685,368309,44745,3364,76329,3194,1571,27173,806,26367,195872,111794,1675,4092,1880,240,63391,12800,5741,7059,709948,38614,51898,30952,34362,44640,17717,491765,"Congressional District 5 (114th Congress), California",2551,2770,2451,1696,436,2249,534,395,1801,275,1793,2711,3496,374,977,472,145,3137,1269,783,969,2505,2313,2858,2439,2527,2666,1782,4285
"G06006","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), California",725594,523689,274426,87849,3162,110692,9370,2915,35275,1688,33587,201905,113460,3806,3196,1848,290,64021,15284,6253,9031,717043,72192,92097,45816,41886,56088,21471,387493,"Congressional District 6 (114th Congress), California",2403,3337,3375,2243,466,2339,882,870,1902,455,1798,2577,3658,734,665,416,147,2967,1361,791,1189,2540,3578,3835,2857,3189,3160,2103,4945
"G06007","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), California",729192,607095,401838,51869,3358,107334,5641,1973,35082,1983,33099,122097,73225,2036,1928,1786,229,29902,12991,6154,6837,718425,42377,54798,27996,31009,40277,17768,504200,"Congressional District 7 (114th Congress), California",2111,2766,3178,2246,527,2403,751,820,1938,606,1851,2391,2576,496,450,394,149,2338,1260,862,849,2441,2623,2833,2280,2449,2539,1820,5914
"G06008","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"08",,,,,,,,,,,"Congressional District 8 (114th Congress), California",712224,439306,338859,54231,6408,20239,2516,852,16201,373,15828,272918,192458,3142,3566,733,63,60998,11958,6863,5095,693706,72984,78165,40917,42359,58454,22158,378669,"Congressional District 8 (114th Congress), California",2987,4456,3962,2574,749,2014,689,274,1471,158,1463,4361,4837,873,782,384,57,3758,1541,1133,908,3271,4423,4516,3071,3145,3844,2418,5817
"G06009","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"09",,,,,,,,,,,"Congressional District 9 (114th Congress), California",730863,452489,257875,60470,2460,101093,3536,979,26076,1140,24936,278374,153309,3583,3265,2303,347,81298,34269,9272,24997,720089,54248,78148,39836,39281,52944,21674,433958,"Congressional District 9 (114th Congress), California",1988,3119,2747,2070,402,2147,595,376,1739,366,1684,3273,4033,815,731,554,161,4016,2550,1362,2231,2203,2671,3411,2464,2523,3357,2644,5951
"G06010","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,"Congressional District 10 (114th Congress), California",723880,422037,322174,21555,3212,46999,4611,1453,22033,1056,20977,301843,206886,1619,1964,1262,376,74038,15698,7476,8222,713521,53269,72495,38274,44492,58393,21011,425587,"Congressional District 10 (114th Congress), California",963,2074,1845,1127,477,1587,360,516,1400,377,1369,2195,4030,529,405,364,125,3256,1652,1198,1129,1286,3128,3634,2529,3197,3493,2257,5004
"G06011","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"11",,,,,,,,,,,"Congressional District 11 (114th Congress), California",732078,541057,347200,61503,1741,95645,3584,2590,28794,652,28142,191021,109828,2017,1464,935,317,65382,11078,6326,4752,724137,38524,50130,29380,27260,36372,16467,526004,"Congressional District 11 (114th Congress), California",2020,2316,2181,2014,331,2259,438,698,1697,196,1686,2333,4015,529,436,254,252,3172,1135,831,676,2147,2467,3010,2315,2101,2081,1803,4308
"G06012","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"12",,,,,,,,,,,"Congressional District 12 (114th Congress), California",731379,622678,318513,39184,1279,231042,3137,3314,26209,974,25235,108701,54319,1773,1238,2061,253,40892,8165,4517,3648,720471,44740,51400,28346,24042,35382,13979,522582,"Congressional District 12 (114th Congress), California",1942,1794,1454,869,248,1718,249,692,1352,247,1308,1404,2499,598,405,542,125,2525,741,543,483,1860,2014,2525,2004,1933,2343,1383,5248
"G06013","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"13",,,,,,,,,,,"Congressional District 13 (114th Congress), California",733401,575749,252075,130427,2434,151063,4274,2463,33013,1506,31507,157652,79181,3533,2935,1226,206,56900,13671,5867,7804,715351,58631,66224,34352,32922,39905,18082,465235,"Congressional District 13 (114th Congress), California",484,2403,2160,2087,317,2180,662,483,1560,354,1541,2322,2810,717,737,407,119,2594,1279,740,1021,1028,2404,2553,1905,2525,2549,1856,4240
"G06014","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"14",,,,,,,,,,,"Congressional District 14 (114th Congress), California",736622,556885,258973,22893,1046,235660,9751,2836,25726,1394,24332,179737,96365,1105,1158,3248,294,67908,9659,4818,4841,729101,30226,32419,23915,24444,35768,13748,568581,"Congressional District 14 (114th Congress), California",2437,2239,1835,980,225,2085,569,766,1523,388,1430,2168,3176,396,357,661,140,3011,1129,788,715,2541,1907,2679,1904,1950,2735,1631,4273
"G06015","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,"Congressional District 15 (114th Congress), California",741528,569191,257431,44491,1943,225185,7994,1436,30711,1653,29058,172337,101618,1883,1901,1553,263,50917,14202,7310,6892,732563,27551,32838,22045,22100,33827,12494,581708,"Congressional District 15 (114th Congress), California",1598,3010,2508,1877,261,2638,783,428,1601,370,1551,2527,3227,498,646,340,115,2841,1409,1016,969,1692,1720,1973,1867,2192,2389,1547,4494
"G06016","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"16",,,,,,,,,,,"Congressional District 16 (114th Congress), California",717984,293020,168809,40212,3409,65062,1257,1284,12987,1082,11905,424964,243247,2432,3992,1549,192,158114,15438,9289,6149,697329,98741,120504,58156,50356,66110,23531,279931,"Congressional District 16 (114th Congress), California",2924,2694,2020,1372,603,1826,267,536,1193,441,1081,2745,4607,597,776,419,149,4641,1496,975,900,2962,3452,4489,3542,3344,3386,2163,5277
"G06017","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"17",,,,,,,,,,,"Congressional District 17 (114th Congress), California",740121,614534,187419,18165,1772,379897,3471,1444,22366,1872,20494,125587,60252,984,1332,1667,613,50643,10096,6053,4043,731659,27469,27052,17671,20313,28855,13044,597255,"Congressional District 17 (114th Congress), California",2717,3318,2689,1611,297,3318,692,397,1426,410,1365,3435,2942,369,391,369,314,3248,1126,923,575,2756,2066,1812,1749,2052,2522,1693,3894
"G06018","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"18",,,,,,,,,,,"Congressional District 18 (114th Congress), California",728724,607480,409412,12961,1074,152370,1785,1903,27975,1240,26735,121244,76837,699,1059,925,124,34479,7121,2929,4192,716025,26185,25319,16596,16512,24268,9451,597694,"Congressional District 18 (114th Congress), California",3524,3118,2501,1141,198,2497,660,439,1503,358,1462,3349,3421,220,319,231,99,2617,881,451,699,3431,2128,2000,1586,1675,2181,1222,3916
"G06019","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"19",,,,,,,,,,,"Congressional District 19 (114th Congress), California",738243,435316,190001,21086,1508,197190,3048,1239,21244,1576,19668,302927,158742,1831,3497,2485,272,120926,15174,8502,6672,729114,41454,49983,33572,30596,45731,17453,510325,"Congressional District 19 (114th Congress), California",3443,3159,1966,1062,315,2613,537,338,1241,375,1167,3698,3885,524,603,555,154,4339,1460,961,976,3660,2629,2490,2623,2387,3164,1595,5222
"G06020","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,"Congressional District 20 (114th Congress), California",725254,347895,274286,13821,1943,37389,2290,786,17380,762,16618,377359,273950,1189,3279,1393,173,85890,11485,6195,5290,694686,44430,71168,42275,44714,53126,19257,419716,"Congressional District 20 (114th Congress), California",1385,1141,1033,593,333,993,176,266,1092,313,1034,1382,4462,284,628,313,87,3969,1132,692,869,4917,2658,3710,3241,3361,3229,1724,6650
"G06021","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"21",,,,,,,,,,,"Congressional District 21 (114th Congress), California",711866,192802,127797,28350,3274,21980,722,961,9718,793,8925,519064,372418,1992,4862,920,359,127022,11491,7435,4056,668125,78616,128885,61110,55505,67691,21253,255065,"Congressional District 21 (114th Congress), California",3943,2898,1968,1282,419,1317,132,388,928,298,872,4110,5201,469,773,287,290,4121,1234,1008,623,3817,3948,5645,3592,3256,4021,2342,5943
"G06022","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"22",,,,,,,,,,,"Congressional District 22 (114th Congress), California",734495,392810,298317,20915,2902,53056,1056,1364,15200,632,14568,341685,235961,2966,3974,1561,429,81909,14885,7467,7418,725194,63774,87341,46512,40474,52938,18413,415742,"Congressional District 22 (114th Congress), California",3801,3203,2732,1130,395,1899,229,481,1265,313,1260,3274,4936,712,794,449,354,3765,1662,1377,1000,3867,3132,3912,3036,2771,3737,1934,5970
"G06023","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"23",,,,,,,,,,,"Congressional District 23 (114th Congress), California",723632,452381,348018,44391,4931,35564,995,876,17606,1092,16514,271251,198282,2667,3379,1030,183,54791,10919,5548,5371,702737,62201,73429,40157,37684,45643,21338,422285,"Congressional District 23 (114th Congress), California",3660,3204,2592,1657,545,1403,282,254,1677,489,1462,4048,4262,586,848,324,140,3333,1452,896,980,3667,4119,4086,2974,2514,2812,2350,5249
"G06024","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"24",,,,,,,,,,,"Congressional District 24 (114th Congress), California",722051,467281,401661,12819,2882,31647,1002,682,16588,374,16214,254770,165765,1664,3299,1283,190,71468,11101,5746,5355,688514,52590,55462,33564,34318,48058,18600,445922,"Congressional District 24 (114th Congress), California",674,600,670,521,333,723,213,310,1022,121,1037,517,3867,449,561,405,127,3888,1135,805,721,2198,2684,3130,2578,2322,2655,1667,4829
"G06025","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"25",,,,,,,,,,,"Congressional District 25 (114th Congress), California",718475,450130,311589,55037,1568,56718,1113,1665,22440,881,21559,268345,153786,2476,2162,730,198,93551,15442,7918,7524,706590,47977,51295,33226,32457,44023,18251,479361,"Congressional District 25 (114th Congress), California",3356,3906,3674,2276,339,1979,285,438,1335,319,1309,4425,4455,588,520,212,212,3492,1677,1009,1194,3409,3219,3058,3154,2781,3192,2124,5323
"G06026","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"26",,,,,,,,,,,"Congressional District 26 (114th Congress), California",717882,398228,318568,12307,1945,47789,921,587,16111,534,15577,319654,246483,1418,3472,1148,250,52874,14009,6908,7101,707556,32198,51440,31202,32227,44237,19610,496642,"Congressional District 26 (114th Congress), California",1025,1597,1822,635,321,1056,175,231,913,179,891,1471,3994,325,708,312,208,3268,1352,909,887,1271,2319,3048,2587,2591,3280,2184,5653
"G06027","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"27",,,,,,,,,,,"Congressional District 27 (114th Congress), California",716789,519672,202405,31257,1105,265839,1179,2076,15811,1199,14612,197117,103312,1250,1093,1757,118,80598,8989,5225,3764,705793,36803,53505,30988,34214,42553,14331,493399,"Congressional District 27 (114th Congress), California",2568,4368,2874,1410,258,3466,367,517,1265,556,1128,3743,3602,284,330,462,59,3966,909,709,611,2706,2038,2575,1831,2524,1974,1501,4680
"G06028","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"28",,,,,,,,,,,"Congressional District 28 (114th Congress), California",716256,528833,392083,17370,1465,95446,755,2919,18795,1385,17410,187423,93563,1240,1267,1316,124,81360,8553,5293,3260,710376,41987,68368,38399,38149,42533,16796,464144,"Congressional District 28 (114th Congress), California",3288,3817,4217,1449,424,2357,281,645,1234,333,1218,3476,3202,312,326,352,85,3238,824,587,478,3270,2021,2715,2227,2630,2507,1536,4254
"G06029","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"29",,,,,,,,,,,"Congressional District 29 (114th Congress), California",714303,224411,130868,26310,1238,55079,703,1586,8627,510,8117,489892,291539,2308,2831,1159,120,182063,9872,5591,4281,708005,59054,97381,54041,49289,66308,25215,356717,"Congressional District 29 (114th Congress), California",5083,2908,2668,1570,338,1712,265,379,947,165,940,4748,5440,598,606,337,63,5145,971,768,665,5081,3153,4114,3281,2831,3489,2131,5158
"G06030","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"30",,,,,,,,,,,"Congressional District 30 (114th Congress), California",745240,530223,378541,32052,1489,91121,773,2180,24067,2045,22022,215017,118700,1405,1422,926,76,81374,11114,7155,3959,736624,42663,47605,28737,29617,40951,17257,529794,"Congressional District 30 (114th Congress), California",4362,4073,3379,2112,348,2713,280,604,1678,760,1440,4343,4133,429,301,229,75,3219,1175,1025,565,4351,2250,2303,2024,1905,2324,1760,4521
"G06031","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"31",,,,,,,,,,,"Congressional District 31 (114th Congress), California",729036,358516,203265,75215,1909,55707,2415,1687,18318,1060,17258,370520,236936,3723,3519,1470,311,108302,16259,7492,8767,710273,65178,79635,40947,41135,55362,22127,405889,"Congressional District 31 (114th Congress), California",3166,3966,3442,2344,479,2138,631,395,1724,414,1661,3996,5936,791,855,365,251,5054,1655,1075,1324,3394,3080,4308,3278,2605,3576,2382,6281
"G06032","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"32",,,,,,,,,,,"Congressional District 32 (114th Congress), California",718864,272550,120990,17842,1718,120044,857,866,10233,1139,9094,446314,236871,1679,3068,1899,198,187497,15102,10151,4951,708007,37142,65232,41602,41897,60925,26096,435113,"Congressional District 32 (114th Congress), California",3082,3122,2255,1588,480,2294,359,275,1074,306,1012,3429,5545,394,643,443,129,5817,1368,1105,817,3111,2491,3303,2790,2723,2788,2403,5955
"G06033","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,"33",,,,,,,,,,,"Congressional District 33 (114th Congress), California",715480,626182,471668,20254,1130,100246,1551,2077,29256,1393,27863,89298,60333,687,883,766,92,18756,7781,3935,3846,695328,36519,26574,14289,15220,21125,9219,572382,"Congressional District 33 (114th Congress), California",4113,4149,3673,1472,262,3069,529,417,1807,427,1703,2384,2912,205,312,283,84,1604,913,618,610,3574,2093,1495,1152,1384,1537,1158,3598
