GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021,ADNEM001,ADNEM002,ADNEM003,ADNEM004,ADNEM005,ADNEM006,ADNEM007,ADNEM008
"G48029","2011-2015",,,"Texas","48",,,,,,,,,,,,,,,,,,,"29",,,,,,,,,,,"Congressional District 29 (114th Congress), Texas",730411,169652,77345,75185,1200,11578,139,849,3356,369,2987,560759,452571,2733,3309,76,61,94749,7260,4143,3117,727175,70688,121885,60428,62524,65329,26801,319520,"Congressional District 29 (114th Congress), Texas",6399,3526,2609,2797,359,1502,112,528,945,361,790,5794,7391,761,779,58,72,4605,1048,693,686,6388,3538,5843,3436,3855,3873,2910,6747
"G48030","2011-2015",,,"Texas","48",,,,,,,,,,,,,,,,,,,"30",,,,,,,,,,,"Congressional District 30 (114th Congress), Texas",733277,461708,116081,321268,987,13166,292,637,9277,596,8681,271569,214034,4008,1223,186,108,47184,4826,2379,2447,716602,72199,101538,50792,44300,61966,23524,362283,"Congressional District 30 (114th Congress), Texas",4856,3936,2604,3439,262,1321,183,210,1111,240,1080,5100,5079,858,465,100,83,3435,898,549,693,4965,3533,5198,3337,3136,3288,2087,5194
"G48031","2011-2015",,,"Texas","48",,,,,,,,,,,,,,,,,,,"31",,,,,,,,,,,"Congressional District 31 (114th Congress), Texas",759528,581130,440774,81894,1921,33656,1591,1025,20269,389,19880,178398,140963,4369,1766,826,246,21930,8298,3663,4635,745142,35841,43814,27864,27884,46149,21457,542133,"Congressional District 31 (114th Congress), Texas",2439,2300,1537,2168,329,977,505,291,1466,140,1477,1741,3005,862,542,396,168,2349,1064,623,834,2936,2552,3156,2314,2314,3329,2110,5843
"G48032","2011-2015",,,"Texas","48",,,,,,,,,,,,,,,,,,,"32",,,,,,,,,,,"Congressional District 32 (114th Congress), Texas",732953,536618,369478,87739,1513,56832,404,963,19689,1274,18415,196335,114279,2215,627,335,108,70634,8137,5256,2881,726741,39117,61645,33203,32803,45063,18612,496298,"Congressional District 32 (114th Congress), Texas",3738,4133,3404,3190,290,1768,217,443,1690,547,1542,3851,3577,698,217,146,104,3290,1376,958,904,3738,2945,3500,2978,2919,3105,2149,5236
"G48033","2011-2015",,,"Texas","48",,,,,,,,,,,,,,,,,,,"33",,,,,,,,,,,"Congressional District 33 (114th Congress), Texas",720668,251186,115873,111924,1159,15995,162,424,5649,232,5417,469482,363487,1940,2171,419,14,94254,7197,4487,2710,713934,73246,128614,68987,65517,80294,25334,271942,"Congressional District 33 (114th Congress), Texas",5163,4522,3056,3135,322,1385,101,218,783,139,770,4856,5937,446,556,225,16,4126,908,684,626,5104,3294,4277,3931,3898,3800,1881,5298
"G48034","2011-2015",,,"Texas","48",,,,,,,,,,,,,,,,,,,"34",,,,,,,,,,,"Congressional District 34 (114th Congress), Texas",717149,119254,103032,9359,541,4289,80,280,1673,62,1611,597895,548258,1365,1177,86,18,41244,5747,4121,1626,696559,98687,120468,58034,43944,57450,21492,296484,"Congressional District 34 (114th Congress), Texas",2451,1035,1048,441,234,541,72,163,459,50,451,2457,3441,384,309,64,20,2494,715,672,381,2293,3316,4739,3776,2845,3305,2136,5752
"G48035","2011-2015",,,"Texas","48",,,,,,,,,,,,,,,,,,,"35",,,,,,,,,,,"Congressional District 35 (114th Congress), Texas",758070,283810,191892,68294,1285,10567,184,991,10597,378,10219,474260,365339,4046,3832,536,164,88392,11951,6284,5667,740246,74698,103237,56077,50502,66332,26991,362409,"Congressional District 35 (114th Congress), Texas",5189,4023,3415,2529,347,1213,80,360,1161,122,1147,5307,6589,806,811,166,110,4298,1330,845,959,5048,3960,5065,3034,2858,3436,2159,6277
"G48036","2011-2015",,,"Texas","48",,,,,,,,,,,,,,,,,,,"36",,,,,,,,,,,"Congressional District 36 (114th Congress), Texas",719530,552816,454210,67429,2653,15756,545,1077,11146,375,10771,166714,127035,1136,1555,83,15,32138,4752,2328,2424,700617,42644,58239,34475,36163,45745,18815,464536,"Congressional District 36 (114th Congress), Texas",3372,2908,2738,2082,406,1166,358,545,911,199,865,3774,4158,388,449,87,17,2541,767,516,729,3752,2769,3015,2764,2885,2548,2329,6008
"G49001","2011-2015",,,"Utah","49",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Utah",720434,631527,590668,6741,6392,11015,1877,879,13955,298,13657,88907,54749,614,1238,196,43,26633,5434,3542,1892,711062,33129,45430,31239,32763,53584,21656,493261,"Congressional District 1 (114th Congress), Utah",427,880,1206,475,339,628,366,371,957,126,947,885,2282,269,297,145,41,2308,744,594,417,956,2228,2389,2344,2479,2840,1649,3913
"G49002","2011-2015",,,"Utah","49",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Utah",718869,612071,555852,8481,6574,17662,9637,1429,12436,424,12012,106798,55435,733,1618,241,60,43602,5109,2641,2468,705875,44919,58394,33131,39437,55633,22691,451670,"Congressional District 2 (114th Congress), Utah",2121,2522,2486,876,680,1165,962,547,977,179,953,2435,3149,369,632,130,57,2980,788,626,543,2046,2727,3270,2383,3084,3333,1808,5519
"G49003","2011-2015",,,"Utah","49",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Utah",720828,647028,599496,3918,10234,13349,4472,996,14563,310,14253,73800,55834,267,446,144,148,13563,3398,1738,1660,706458,38474,50144,29552,31567,48704,21172,486845,"Congressional District 3 (114th Congress), Utah",1830,1842,2139,492,452,899,707,520,1024,113,1006,1372,1734,143,153,86,111,1350,650,448,398,2083,1866,2564,2108,2092,2770,1927,5155
"G49004","2011-2015",,,"Utah","49",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Utah",743248,622897,562074,10310,4338,21080,9554,1130,14411,422,13989,120351,70627,845,984,415,356,41675,5449,3587,1862,732514,33560,47551,28277,32667,56176,24838,509445,"Congressional District 4 (114th Congress), Utah",2856,2977,2701,839,695,1374,1311,498,1382,193,1358,2399,3358,325,384,257,140,2758,927,744,593,2752,2451,2997,2634,2234,3412,2049,5175
