Precinct,Arson,Assault,Burglary,Drugs,Malicious Mischief,Murder,Robbery,Theft,Veh_Prowling,Veh_Theft,AllCrimes,Population
6133,2,121,184,32,208,3,2,304,186,89,1131,2486
6134,0,60,47,9,127,0,2,187,223,84,739,536
6135,1,92,252,17,242,0,10,351,278,108,1351,3855
6136,2,306,328,66,513,0,39,677,451,253,2635,3893
6137,0,37,64,1,99,0,2,67,124,54,448,1773
6138,2,54,89,5,103,0,0,97,124,44,518,1442
6139,0,35,85,8,102,0,0,63,132,29,454,1359
6140,0,5,43,0,36,0,1,38,62,17,202,1124
6141,0,12,91,2,86,0,1,58,158,35,443,1114
6142,1,14,73,10,132,0,2,63,186,28,509,1270
6143,0,34,49,4,103,1,1,78,132,31,433,1257
6144,1,40,72,6,87,0,10,105,105,33,459,1134
6145,0,81,63,24,115,0,6,103,117,28,537,1260
6146,1,23,85,1,83,0,1,60,137,28,419,1153
6147,0,25,84,2,107,0,1,167,152,30,568,1479
6148,0,7,42,2,27,0,0,30,59,11,178,432
6150,0,3,17,0,12,0,0,11,27,2,72,302
6151,0,27,86,1,77,0,1,71,121,13,397,2733
6152,0,239,137,12,151,0,1,125,175,62,902,3029
6153,0,16,42,2,40,0,0,43,60,29,232,627
6154,0,3,21,0,9,0,0,11,16,5,65,331
