G02180,64.89492417,-163.9702757
G02270,62.15424287,-163.3726401
G02013,55.3644882,-161.9939681
G02050,60.92186518,-159.7677577
G02188,67.06219967,-159.7054125
G15007,22.04040798,-159.5939358
G02070,59.8030272,-158.2110423
G15003,21.46821644,-158.0035534
G15005,21.17055701,-156.9475059
G02060,58.74213464,-156.7011083
G15009,20.85953687,-156.5646814
G02164,58.64769905,-156.1780983
G15001,19.59826465,-155.51826
G02150,57.67183484,-153.7941195
G02185,69.30695912,-153.4411195
G02122,60.2620589,-151.5711384
G02290,65.50932306,-151.3900795
G02068,63.67343926,-150.0088168
G02170,62.31653002,-149.5702421
G02020,61.15000611,-149.1095523
G02090,64.80858244,-146.5625237
G02261,61.57080096,-144.4572802
G02240,63.87695032,-143.2069812
G02282,59.89292686,-140.366983
G02100,59.12345089,-135.5058996
G02230,59.56178278,-135.3373836
G02105,58.18965016,-135.3194711
G02220,57.23495416,-135.2995608
G02110,58.45942083,-134.1760404
G02195,56.82212634,-133.2562385
G02198,55.50813877,-132.6907311
G02275,56.33165328,-132.0077678
G02130,55.59773493,-130.9287831
G41015,42.45755635,-124.1567612
G41011,43.17197749,-124.0577428
G53009,48.04898161,-123.9316964
G06015,41.74290443,-123.8971307
G06023,40.69877671,-123.8734199
G41041,44.64174862,-123.8672571
G53027,47.15101184,-123.7726077
G41057,45.46272836,-123.7090206
G53049,46.55651393,-123.7014722
G41007,45.98666278,-123.6571241
G53031,47.74804499,-123.5995576
G41033,42.36547422,-123.5554266
G41003,44.49181215,-123.4294897
G53069,46.29770653,-123.4265414
G41053,44.90344739,-123.4135449
G06045,39.44032826,-123.3913119
G41071,45.23251053,-123.3079045
G53045,47.35132864,-123.1990188
G41019,43.27909999,-123.1648154
G06105,40.65073991,-123.1124968
G41067,45.56002255,-123.0985811
G41009,45.94194658,-123.0866666
G53055,48.57665841,-122.9640412
G06097,38.52864432,-122.8876658
G41039,43.9386019,-122.8479688
G53067,46.91991581,-122.8303801
G06033,39.09962024,-122.7531162
G41029,42.43216628,-122.7285439
G06041,38.07184853,-122.7192017
G53015,46.19319254,-122.6808338
G53035,47.61178536,-122.6758097
G41047,44.90306267,-122.5854413
G53029,48.16254999,-122.5479711
G06093,41.59277228,-122.5403643
G41043,44.4883926,-122.5340256
G53011,45.77927121,-122.4824897
G06075,37.75452322,-122.4409042
G41051,45.54681058,-122.415378
G06021,39.59831741,-122.3924279
G53041,46.57769016,-122.3924149
G06055,38.50689211,-122.3306247
G06081,37.42227099,-122.3291681
G06011,39.17745773,-122.2366358
G06103,40.12583809,-122.2340332
G41005,45.18817284,-122.2208557
G53053,47.02319492,-122.1024151
G06089,40.76390523,-122.0403553
G06087,37.05620537,-122.0012352
G06013,37.91572278,-121.926566
G06095,38.28145604,-121.9254582
G53059,46.02279692,-121.9151511
G06113,38.68668535,-121.901911
G06001,37.64635439,-121.885859
G53033,47.4879821,-121.7976324
G53057,48.47922228,-121.7248581
G53073,48.8257332,-121.7164349
G53061,48.0472245,-121.6959466
G06085,37.23158416,-121.6947407
G06101,39.03439798,-121.6946497
G41027,45.51928165,-121.6511961
G41035,42.68626942,-121.6501194
G06007,39.66704601,-121.6007853
G06115,39.26918037,-121.3513545
G06067,38.45511604,-121.3379302
G06077,37.93450401,-121.2711214
G06053,36.21710757,-121.239022
G41017,43.91480962,-121.2279608
G41031,44.62944595,-121.1752812
G41065,45.16003795,-121.1681789
G06069,36.60571023,-121.0748741
G06099,37.5591343,-120.9976678
G06063,40.00462504,-120.8385712
G53039,45.87383367,-120.7890664
G06057,39.30111078,-120.7690353
G53077,46.45680018,-120.7385938
G06049,41.58978899,-120.7249355
G06061,39.06340806,-120.7175611
G06047,37.19189411,-120.7174323
G41055,45.40540766,-120.6894916
G53037,47.12416901,-120.6796082
G06005,38.44652793,-120.6511718
G53007,47.8692446,-120.6189126
G06035,40.67355657,-120.594403
